target,feature,feature_origin,workflow_stage,leakage_level,rule_id,dependency_path
average_voltage,discharge_summary_band_gap,post_dft_electronic_summary,post_dft_electronic,L4,RULE_POST_DFT_ELECTRONIC,feature::discharge_summary_band_gap -> concept::post_dft_record -> target::average_voltage
average_voltage,discharge_summary_density,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::discharge_summary_density -> target::average_voltage
average_voltage,discharge_summary_density_atomic,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::discharge_summary_density_atomic -> target::average_voltage
average_voltage,discharge_summary_energy_above_hull,post_dft_energy_stability_summary,post_dft_thermodynamics,L4,RULE_HULL_OTHER,feature::discharge_summary_energy_above_hull -> concept::post_dft_thermodynamics -> target::average_voltage
average_voltage,discharge_summary_formation_energy_per_atom,post_dft_energy_stability_summary,post_dft_thermodynamics,L2,RULE_FORMATION_ENERGY_VOLTAGE,feature::discharge_summary_formation_energy_per_atom -> concept::insertion_energy_difference -> target::average_voltage
average_voltage,discharge_summary_is_metal,post_dft_electronic_summary,post_dft_electronic,L4,RULE_POST_DFT_ELECTRONIC,feature::discharge_summary_is_metal -> concept::post_dft_record -> target::average_voltage
average_voltage,discharge_summary_is_stable,post_dft_energy_stability_summary,post_dft_thermodynamics,L4,RULE_HULL_OTHER,feature::discharge_summary_is_stable -> concept::post_dft_thermodynamics -> target::average_voltage
average_voltage,discharge_summary_nsites,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::discharge_summary_nsites -> target::average_voltage
average_voltage,discharge_summary_symmetry_number,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::discharge_summary_symmetry_number -> target::average_voltage
average_voltage,discharge_summary_theoretical,post_dft_provenance_flag,post_dft_provenance,L4,RULE_POST_DFT_PROVENANCE,feature::discharge_summary_theoretical -> concept::post_dft_record -> target::average_voltage
average_voltage,discharge_summary_volume,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::discharge_summary_volume -> target::average_voltage
average_voltage,discharge_summary_volume_per_site,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::discharge_summary_volume_per_site -> target::average_voltage
average_voltage,energy_grav,stored_electrode_target,stored_electrode_record,L2,RULE_ENERGY_VOLTAGE_RELATION,feature::energy_grav -> concept::energy_definition -> target::average_voltage
