chemical_system_uid,n_records,n_case_screen_pass,best_final_triage_score,best_top20_probability,families
Ce-Se,2,0,-0.14170408159165868,0.0,other_or_unclear
O-Sn,1,0,-0.14220396710776112,0.0,oxide_like_other
Ca-O-Ta,1,0,-0.14317574191929178,0.0,transition_metal_oxide_like
Cd,1,0,-0.143315232125,0.0,other_or_unclear
K-Sb,1,0,-0.14575300154356904,0.0,other_or_unclear
Bi-O,1,0,-0.14762829961773014,0.0,oxide_like_other
Nb-Te,1,0,-0.157038609718695,0.0,other_or_unclear
Cl-Pr,1,0,-0.15869623287731766,0.0,halide_or_fluoride_like
Br-Cs-U,1,0,-0.16102934618930115,0.0,halide_or_fluoride_like
Mo-Se,3,0,-0.16805749994741137,0.0,other_or_unclear
Ag,1,0,-0.1704975295641161,0.0,other_or_unclear
Sn,2,0,-0.1766233636249993,0.0,other_or_unclear
Cl-Cs-Ta,1,0,-0.17770441436856424,0.0,halide_or_fluoride_like
Sb,1,0,-0.17897202850349483,0.0,other_or_unclear
Mo-S,1,0,-0.19516292847121117,0.0,sulfide_like
Cs,1,0,-0.1956562141573274,0.0,other_or_unclear
Ca,2,0,-0.19758394968318904,0.0,other_or_unclear
Cl-K-Ta,1,0,-0.2083198589865768,0.0,halide_or_fluoride_like
Ba-Sn,1,0,-0.21104950986350993,0.0,other_or_unclear
Cu-Se-V,1,0,-0.21305287775696463,0.0,other_or_unclear
Cl-Hf-N,1,0,-0.2343244308659436,0.0,halide_or_fluoride_like
F-Ti,1,0,-0.23656602504799457,0.0,halide_or_fluoride_like
Ni,1,0,-0.2375,0.0,other_or_unclear
Ce,1,0,-0.2375,0.0,other_or_unclear
Co,1,0,-0.2375,0.0,other_or_unclear
Re,1,0,-0.2375,0.0,other_or_unclear
Fe,1,0,-0.2375,0.0,other_or_unclear
Ca-Rh,1,0,-0.27507018515614917,0.0,other_or_unclear
Bi-In,1,0,-0.2965850725344733,0.0,other_or_unclear
