target,stage,fold_id,n_train,n_test,n_features,ridge_mae,ridge_rmse,ridge_r2,ridge_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,mae_skill_vs_dummy,rmse_skill_vs_dummy
energy_grav,P1,1,2561,640,73,163.7467120985586,221.68127848533692,0.30388882160784614,0.605598598724832,208.8663248676631,265.70536488871306,-4.886144755888999e-05,,0.216021480713524,0.16568760823408668
energy_grav,P1,2,2561,640,73,186.30309861447122,237.87455884549354,0.2806016261169867,0.5084637808790634,220.83360820219613,280.4764493905652,-0.0001525855290451794,,0.1563643770929497,0.1518911503537621
energy_grav,P1,3,2561,640,73,177.19175212799965,242.73151308867833,0.28741569592726324,0.5993433326078581,226.0544860211512,289.4780681404636,-0.013480173511142723,,0.216154674712271,0.16148565365270584
energy_grav,P1,4,2561,640,73,171.87031925572836,235.5768174232168,0.3641330444648404,0.6267180337843777,225.87765060611736,295.4267461442396,-1.7915126817591442e-06,,0.23909993399287788,0.20258805102162813
energy_grav,P2,0,2560,641,93,129.0107923805895,189.9610268000576,0.5367248281522059,0.8159747248017883,220.48477368522722,281.22168982674094,-0.015330976230450988,,0.4148766364938633,0.32451502258914844
energy_grav,P2,1,2561,640,93,131.31743939506163,207.47961954931765,0.3902224108851329,0.8277396307119893,208.8663248676631,265.70536488871306,-4.886144755888999e-05,,0.3712847703991352,0.21913650619656266
energy_grav,P2,2,2561,640,93,141.2647851942316,188.6212733273602,0.5476706122139186,0.7949756194473132,220.83360820219613,280.4764493905652,-0.0001525855290451794,,0.3603112028813613,0.3274969298234951
energy_grav,P2,3,2561,640,93,136.10148282104632,187.48672226254212,0.5748668614422188,0.8019382676715521,226.0544860211512,289.4780681404636,-0.013480173511142723,,0.3979262025867881,0.35232840447322655
energy_grav,P2,4,2561,640,93,140.10574077883393,236.62046229264632,0.3584865698625537,0.7829684032431721,225.87765060611736,295.4267461442396,-1.7915126817591442e-06,,0.37972729748660006,0.19905538215176222
energy_grav,P3,0,2560,641,108,118.59628815808748,172.34725669387282,0.6186543831760739,0.8464798813915174,220.48477368522722,281.22168982674094,-0.015330976230450988,,0.46211120987701304,0.38714806528594947
energy_grav,P3,1,2561,640,108,115.84657646619749,180.26201661111756,0.5397126668960018,0.8478424172178156,208.8663248676631,265.70536488871306,-4.886144755888999e-05,,0.4453554131351838,0.32157178427083033
energy_grav,P3,2,2561,640,108,123.72037363746395,167.24376630360473,0.644390513065644,0.8368865494056384,220.83360820219613,280.4764493905652,-0.0001525855290451794,,0.4397574959505933,0.4037154753384776
energy_grav,P3,3,2561,640,108,119.03830225218958,163.39720914396884,0.6770961712079403,0.8489185764613686,226.0544860211512,289.4780681404636,-0.013480173511142723,,0.47340880357025283,0.43554546223970403
energy_grav,P3,4,2561,640,108,128.23435994560208,227.8704726523476,0.40505439304479585,0.8084503837899998,225.87765060611736,295.4267461442396,-1.7915126817591442e-06,,0.43228398382266,0.2286735184731995
energy_vol,P1,0,2560,641,73,609.0569441794605,809.5957357808607,0.3219778404406757,0.5746959858306827,782.1621517078995,987.099296876901,-0.007927162347904915,,0.22131626690252537,0.1798234095168001
