target,stage,split_name,fold_id,heldout_group,n_train,n_test,n_features,et_mae,et_rmse,et_r2,et_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,source,mae_skill_vs_dummy,rmse_skill_vs_dummy,reporting_name
max_delta_volume,P1,leave_working_ion_out,2,K,3052,149,73,0.0943415260531402,0.1677384807318259,-0.4092915121123321,0.4756252189384163,0.1042652373717682,0.1617465721484794,-0.3104051676929924,,historical_notebook04_reused_after_compatibility_gate,0.09517756415059042,-0.037045042153017516,working-ion-held-out validation
max_delta_volume,P2,leave_working_ion_out,0,Li,543,2658,77,0.0550902060291004,0.0856538742430233,-0.3199264124930976,0.176123000604803,0.0615333040544466,0.086669922212967,-0.3514267468007097,,historical_notebook04_reused_after_compatibility_gate,0.10470911849045428,0.011723190052565724,working-ion-held-out validation
max_delta_volume,P2,leave_working_ion_out,1,Na,2807,394,77,0.0518234066854851,0.0831866268957383,0.2519389426202,0.4687238366328544,0.0598452795259911,0.0994541027159972,-0.0692405597385783,,historical_notebook04_reused_after_compatibility_gate,0.13404353533050273,0.16356766966881764,working-ion-held-out validation
max_delta_volume,P2,leave_working_ion_out,2,K,3052,149,77,0.0888160489812703,0.1511333081806321,-0.1440784455763073,0.5361218937057863,0.1042652373717682,0.1617465721484794,-0.3104051676929924,,historical_notebook04_reused_after_compatibility_gate,0.1481719965343028,0.06561662375202981,working-ion-held-out validation
max_delta_volume,P3,leave_working_ion_out,0,Li,543,2658,96,0.0590615036821478,0.0872440532287935,-0.3693906699356313,0.3118919978393736,0.0615333040544466,0.086669922212967,-0.3514267468007097,,historical_notebook04_reused_after_compatibility_gate,0.040170122672295805,-0.006624339807479451,working-ion-held-out validation
max_delta_volume,P3,leave_working_ion_out,1,Na,2807,394,96,0.0472509626854227,0.0764327419736874,0.368477399558202,0.591220123281241,0.0598452795259911,0.0994541027159972,-0.0692405597385783,,historical_notebook04_reused_after_compatibility_gate,0.21044795747171052,0.23147723536403508,working-ion-held-out validation
max_delta_volume,P3,leave_working_ion_out,2,K,3052,149,96,0.0827294223054495,0.1283434005356013,0.1749457419623301,0.6186432069653547,0.1042652373717682,0.1617465721484794,-0.3104051676929924,,historical_notebook04_reused_after_compatibility_gate,0.20654837229718837,0.2065154838781671,working-ion-held-out validation
stability_charge,P1,leave_working_ion_out,0,Li,543,2658,73,0.062635577778988,0.1248941634592851,-0.4401576242744431,0.2858563877063643,0.0456860530976499,0.1040827370124947,-0.000191476683526,,cmt_stage_d_new_fit,-0.3709999777198978,-0.199950799182885,working-ion-held-out validation
stability_charge,P1,leave_working_ion_out,1,Na,2807,394,73,0.0392183817763338,0.1004128096186918,0.4076865340699518,0.7735831367117514,0.0664255997644,0.1305079028825916,-0.0005688776815828,,cmt_stage_d_new_fit,0.4095893463448652,0.2305997767121745,working-ion-held-out validation
stability_charge,P1,leave_working_ion_out,2,K,3052,149,73,0.0357088830556876,0.1208838819913027,0.059676482928199,0.8711319637606383,0.0755165073192678,0.1252503680891492,-0.0094818687837676,,cmt_stage_d_new_fit,0.5271380480466599,0.0348620619999984,working-ion-held-out validation
stability_charge,P2,leave_working_ion_out,0,Li,543,2658,93,0.0603068707779764,0.117498510771903,-0.2746485769324323,0.2959119883653004,0.0456860530976499,0.1040827370124947,-0.000191476683526,,cmt_stage_d_new_fit,-0.3200280323860724,-0.1288952822003299,working-ion-held-out validation
stability_charge,P2,leave_working_ion_out,1,Na,2807,394,93,0.0432577842984925,0.1037137315726926,0.3681035892537003,0.7649510028522264,0.0664255997644,0.1305079028825916,-0.0005688776815828,,cmt_stage_d_new_fit,0.3487784159733544,0.2053068873078417,working-ion-held-out validation
stability_charge,P2,leave_working_ion_out,2,K,3052,149,93,0.0413116904411177,0.0910112434746078,0.4669958413344154,0.7191286886370584,0.0755165073192678,0.1252503680891492,-0.0094818687837676,,cmt_stage_d_new_fit,0.4529449002923201,0.2733654610114289,working-ion-held-out validation
stability_charge,P3,leave_working_ion_out,0,Li,543,2658,105,0.0469347042646681,0.0997140362260417,0.0820091910194678,0.4882801003561446,0.0456860530976499,0.1040827370124947,-0.000191476683526,,cmt_stage_d_new_fit,-0.0273311236658897,0.0419733465111373,working-ion-held-out validation
stability_charge,P3,leave_working_ion_out,1,Na,2807,394,105,0.0299958167874055,0.0612404547318359,0.7796818979526006,0.8312333438419895,0.0664255997644,0.1305079028825916,-0.0005688776815828,,cmt_stage_d_new_fit,0.5484298689993709,0.5307529017079566,working-ion-held-out validation
stability_charge,P3,leave_working_ion_out,2,K,3052,149,105,0.0320463513678582,0.0694432758640352,0.6896863349076425,0.8339328994106997,0.0755165073192678,0.1252503680891492,-0.0094818687837676,,cmt_stage_d_new_fit,0.5756377975430842,0.4455642971475519,working-ion-held-out validation
stability_discharge,P1,leave_working_ion_out,0,Li,543,2658,73,0.0428661572866547,0.0891076358216072,-0.1035207838230221,0.2281198849858319,0.0358923302853834,0.0864012198582456,-0.0375055363514258,,cmt_stage_d_new_fit,-0.1942985296809007,-0.0313238165827043,working-ion-held-out validation
stability_discharge,P1,leave_working_ion_out,1,Na,2807,394,73,0.0336082340081768,0.0626346805552562,-0.1785514125410194,0.5219230886593501,0.0460882478862602,0.0609187700947899,-0.1148618450078424,,cmt_stage_d_new_fit,0.2707851665110476,-0.0281671881719933,working-ion-held-out validation
stability_discharge,P1,leave_working_ion_out,2,K,3052,149,73,0.0432627890799573,0.0695561490144141,0.3596926498237127,0.4379816424614743,0.062217322284696,0.0870450617651985,-0.0027800940695619,,cmt_stage_d_new_fit,0.3046504174192183,0.2009179199385283,working-ion-held-out validation
stability_discharge,P2,leave_working_ion_out,0,Li,543,2658,93,0.0401805501176668,0.0873747694026907,-0.0610180197566103,0.2672688444805463,0.0358923302853834,0.0864012198582456,-0.0375055363514258,,cmt_stage_d_new_fit,-0.1194745450681904,-0.011267775455513,working-ion-held-out validation
