material_id,linked_summary_has_structure,structure_nsites_if_parseable,structure_formula_if_available
mp-aaaablqh,True,24,
mp-aaaablqi,True,14,
mp-aaaablqm,True,14,
mp-aaaablqq,True,14,
mp-aaaablqr,True,52,
mp-aaaablqs,True,52,
mp-aaaablqt,True,28,
mp-aaaablqu,True,16,
mp-aaaablqv,True,28,
mp-aaaablqy,True,24,
mp-aaaablra,True,24,
mp-aaaablrb,True,48,
mp-aaaablrc,True,24,
mp-aaaablrd,True,48,
mp-aaaablre,True,52,
mp-aaaablrh,True,26,
mp-aaaablri,True,26,
mp-aaaablrj,True,52,
mp-aaaablrk,True,22,
mp-aaaablrl,True,16,
mp-aaaablrm,True,22,
mp-aaaablrn,True,4,
mp-aaaablro,True,14,
mp-aaaabluk,True,8,
mp-aaaablum,True,8,
mp-aaaablvo,True,12,
mp-aaaablvs,True,14,
mp-aaaablvv,True,12,
mp-aaaablwd,True,4,
mp-aaaabmek,True,39,
mp-aaaabmer,True,55,
mp-aaaabmet,True,52,
mp-aaaabmeu,True,48,
mp-aaaabmev,True,52,
mp-aaaabmew,True,46,
mp-aaaabmez,True,34,
mp-aaaabmfa,True,32,
mp-aaaabmff,True,46,
mp-aaaabmfh,True,40,
mp-aaaabmfi,True,38,
mp-aaaabmfj,True,34,
mp-aaaabmfk,True,32,
mp-aaaabmfl,True,34,
mp-aaaabmfm,True,32,
mp-aaaabmfn,True,14,
mp-aaaabmft,True,80,
mp-aaaabmfu,True,36,
mp-aaaabmfv,True,80,
mp-aaaabmfw,True,72,
mp-aaaabmfz,True,72,
mp-aaaabmga,True,68,
mp-aaaabmgb,True,48,
mp-aaaabmgd,True,40,
mp-aaaabmge,True,36,
mp-aaaabmgf,True,44,
mp-aaaabmgg,True,40,
mp-aaaabmgn,True,74,
mp-aaaabmgr,True,46,
mp-aaaabmgy,True,44,
mp-aaaabmhb,True,52,
mp-aaaabmhi,True,68,
mp-aaaabmhj,True,72,
mp-aaaabmhl,True,72,
mp-aaaabmhn,True,60,
mp-aaaabmho,True,58,
mp-aaaabmhp,True,14,
mp-aaaabmhq,True,12,
mp-aaaabmhr,True,38,
mp-aaaabmht,True,84,
mp-aaaabmhv,True,56,
mp-aaaabmia,True,40,
mp-aaaabmic,True,72,
mp-aaaabmik,True,68,
mp-aaaabmil,True,72,
mp-aaaabmim,True,68,
mp-aaaabmip,True,60,
mp-aaaabmiq,True,58,
mp-aaaabmja,True,44,
mp-aaaabmjb,True,55,
mp-aaaabmjf,True,56,
mp-aaaabmjh,True,40,
mp-aaaabmjk,True,38,
mp-aaaabmjn,True,80,
mp-aaaabmjq,True,48,
mp-aaaabmjs,True,40,
mp-aaaabmjv,True,48,
mp-aaaabmjy,True,46,
mp-aaaabmka,True,38,
mp-aaaabmkc,True,40,
mp-aaaabmke,True,38,
mp-aaaabmkf,True,42,
mp-aaaabmkg,True,36,
mp-aaaabmkl,True,36,
mp-aaaabmkm,True,34,
mp-aaaabmkn,True,36,
mp-aaaabmkp,True,36,
mp-aaaabmkq,True,34,
mp-aaaabmkt,True,42,
mp-aaaabmku,True,36,
mp-aaaabmkv,True,40,
mp-aaaabmkw,True,38,
mp-aaaabmkx,True,14,
mp-aaaabmky,True,12,
