record_index,source_queried_working_ion,source_endpoint,mp_database_version,record_source_id,working_ion,battery_formula,formula_charge,formula_discharge,framework_formula,chemsys,elements,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,fracA_charge,fracA_discharge,num_steps,max_voltage_step,id_charge,id_discharge,material_ids,battery_type,thermo_type,last_updated,stability_worst
Li_000031,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0.95-1FeAs,Li19(FeAs)20,LiFeAs,FeAs,As-Fe,As|Fe,1.7028558533333191,9.731300649115923,50.71370499465639,16.571002270893384,86.35812939436985,0.006759784244354,0.013307571355932002,0.0,0.322033898305084,0.33333333333333304,1.0,0.0,mp-aaabeetc,mp-aaaabftv,mp-aaabeetc|mp-aaaabftv,insertion,,2025-09-19T09:43:30.831000Z,0.013307571355932002
Li_000032,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-3Fe2(AsO4)3,Fe2(AsO4)3,Li3Fe2(AsO4)3,Fe2(AsO4)3,As-Fe-O,As|Fe|O,5.085863810833331,146.38402899425472,538.0026867082696,744.4892355458571,2736.2083944606907,0.028936473617741,0.14451663438724902,0.0009231936500010001,0.0,0.15,1.0,0.0,mp-aaabexkt,mp-aaabevum,mp-aaabexkt|mp-aaabevum,insertion,,2025-09-19T09:44:15.928000Z,0.14451663438724902
Li_000033,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5KTiAsO5,KTiAsO5,K2LiTi2(AsO5)2,KTiAsO5,As-K-O-Ti,As|K|O|Ti,0.8555944883333281,54.6178938412433,180.0567764751375,46.730768934942624,154.0555855391938,0.014557715197403,0.0,0.107425611443347,0.0,0.058823529411764004,1.0,0.0,mp-aaaaajpo,mp-aaabrzgc,mp-aaaaajpo|mp-aaabrzgc,insertion,,2025-09-19T09:44:17.978000Z,0.107425611443347
Li_000034,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1MnAs,MnAs,LiMnAs,MnAs,As-Mn,As|Mn,1.221144383333333,195.91633610619226,817.9181986211698,239.24213343932217,998.7962142723591,0.182656531783761,0.44509168,0.145942876340997,0.0,0.33333333333333304,1.0,0.0,mp-aaacfkut,mp-aaacfkmh,mp-aaacfkut|mp-aaacfkmh,insertion,,2025-09-19T09:43:19.425000Z,0.44509168
Li_000035,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-1.15MnAs,LiMnAs,Li23(MnAs)20,MnAs,As-Mn,As|Mn,-0.6983127599999921,29.16548041038338,122.41341169757163,-20.366627122100535,-85.48284738354661,0.15527058273555902,0.13185651634099702,0.19543965424648702,0.33333333333333304,0.365079365079365,1.0,0.0,mp-aaaabfmq,mp-aaabegxp,mp-aaaabfmq|mp-aaabegxp,insertion,,2025-09-19T09:43:30.806000Z,0.19543965424648702
Li_000036,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1NiAsO4,NiAsO4,LiNiAsO4,NiAsO4,As-Ni-O,As|Ni|O,5.032981518333333,131.0242457007058,577.5807854728228,659.4426070652179,2906.9534186291667,0.049245463950724,0.152693803229162,0.0,0.0,0.14285714285714202,1.0,0.0,mp-aaabdbof,mp-aaaabgxn,mp-aaabdbof|mp-aaaabgxn,insertion,,2025-09-19T09:43:31.398000Z,0.152693803229162
Li_000037,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1MnAsO4,MnAsO4,LiMnAsO4,MnAsO4,As-Mn-O,As|Mn|O,3.76744912833333,133.4746782541047,522.240590807198,502.8590602429984,1967.5148586168614,0.062570318125929,0.031322605,0.0,0.0,0.14285714285714202,1.0,0.0,mp-aaabdbol,mp-aaaabdrg,mp-aaabdbol|mp-aaaabdrg,insertion,,2025-09-19T09:43:30.662000Z,0.031322605
Li_000038,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li3-4VAs2O9,Li3VAs2O9,Li4VAs2O9,VAs2O9,As-O-V,As|O|V,3.726356205833345,71.94192230906822,227.45991271401957,268.0812286559767,847.5966573201978,0.010062164969947001,0.052553016166664,0.043911376562499,0.2,0.25,1.0,0.0,mp-aaacozvm,mp-aaacozjo,mp-aaacozvm|mp-aaacozjo,insertion,,2025-09-19T09:43:22.151000Z,0.052553016166664
Li_000039,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1VAsO5,VAsO5,LiVAsO5,VAsO5,As-O-V,As|O|V,3.8472558033333373,125.946158856152,466.6035746693971,484.5470905668732,1795.1433105029182,0.010222359532899001,0.0,0.0,0.0,0.125,1.0,0.0,mp-aaabdbot,mp-aaaaazst,mp-aaabdbot|mp-aaaaazst,insertion,,2025-09-19T09:43:25.426000Z,0.0
Li_000040,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1CuAuO2,CuAuO2,LiCuAuO2,CuAuO2,Au-Cu-O,Au|Cu|O,2.037580983333332,89.50165007832643,746.7222166900734,182.3668601765522,1521.5069885602054,0.21816970161322402,0.022865469999999003,0.212830964,0.0,0.2,1.0,0.0,mp-aaabqxow,mp-aaacsiqi,mp-aaabqxow|mp-aaacsiqi,insertion,,2025-09-19T09:44:26.282000Z,0.212830964
Li_000041,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1AuC2,AuC2,LiAuC2,AuC2,Au-C,Au|C,3.71962168333333,117.58698888934951,654.9172372074567,437.37911355069986,2436.0443563056137,0.273512160260229,1.543402631666666,0.498760086249999,0.0,0.25,1.0,0.0,mp-aaacrczu,mp-aaaabseu,mp-aaacrczu|mp-aaaabseu,insertion,,2025-09-19T09:44:12.880000Z,1.543402631666666
Li_000042,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.25AuSeClO3,AuSeClO3,LiAu4Se4(ClO3)4,AuSeClO3,Au-Cl-O-Se,Au|Cl|O|Se,2.648988873333327,18.55477353016999,86.18351902136791,49.15138862864005,228.2991829523148,0.065854996598809,0.0,0.044455231233334,0.0,0.04,1.0,0.0,mp-aaabfxfp,mp-aaacsikz,mp-aaabfxfp|mp-aaacsikz|mp-aaacsiqq|mp-aaacshkq|mp-aaacshjf|mp-aaacsgzy|mp-aaacsdyc|mp-aaacshgm,insertion,,2025-09-19T09:44:17.190000Z,0.044455231233334
Li_000043,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1MgSnAu,MgSnAu,LiMgSnAu,MgSnAu,Au-Mg-Sn,Au|Mg|Sn,0.30084118333333304,77.25493680799964,588.6802021410522,23.241466607660534,177.09924861702027,0.08963807807695101,0.0,0.058298733541666,0.0,0.25,1.0,0.0,mp-aaaaaifl,mp-aaaaaleo,mp-aaaaaifl|mp-aaaaaleo,insertion,,2025-09-19T09:44:16.573000Z,0.058298733541666
Li_000044,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1Cs7Au5O2,Cs7Au5O2,Cs7LiAu5O2,Cs7Au5O2,Au-Cs-O,Au|Cs|O,-0.04008736666667,13.715435701765617,78.66115751285739,-0.549815699969825,-3.153318663642659,0.054713614013359,0.0,0.106447411000001,0.0,0.066666666666666,1.0,0.0,mp-aaabdaoh,mp-aaacshpx,mp-aaabdaoh|mp-aaacshpx|mp-aaacsigs|mp-aaacsjab|mp-aaacshde|mp-aaacside,insertion,,2025-09-19T09:44:15.445000Z,0.106447411000001
Li_000045,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li2-3Bi(BO3)2,Li2Bi(BO3)2,Li3Bi(BO3)2,Bi(BO3)2,B-Bi-O,B|Bi|O,3.9161017308333372,77.14392460508779,330.93955627952863,302.10345666926077,1295.9929691474788,0.034123765199893005,0.055509871818190004,0.0,0.18181818181818102,0.25,1.0,0.0,mp-aaabrsth,mp-aaabrtia,mp-aaabrsth|mp-aaabrstw|mp-aaabrtia,insertion,,2025-09-19T09:44:44.181000Z,0.055509871818190004
Li_000046,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-2SbAu,LiSbAu,Li2SbAu,SbAu,Au-Sb,Au|Sb,1.185891043333334,80.5796471989388,614.6142501388289,95.55868188818152,728.8655343446707,0.08194248753996901,0.10481701527777601,0.0,0.33333333333333304,0.5,1.0,0.0,mp-aaaaaspg,mp-aaaabszk,mp-aaaaaspg|mp-aaaabszk,insertion,,2025-09-19T09:43:24.383000Z,0.10481701527777601
Li_000047,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1CrB3(HO3)3,CrB3(HO3)3,LiCrB3(HO3)3,CrB3(HO3)3,B-Cr-H-O,B|Cr|H|O,4.06632266583333,112.42773412647509,234.11360904536053,457.16744354676905,951.9814748411925,0.028362813632403002,0.051440506281250006,0.06283315588613,0.0,0.058823529411764004,1.0,0.0,mp-aaabsigx,mp-aaabsgxu,mp-aaabsigx|mp-aaabsgxu,insertion,,2025-09-19T09:44:50.740000Z,0.06283315588613
Li_000048,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0.5-1BC,Li(BC)2,LiBC,BC,B-C,B|C,2.254960033333337,450.25285248589495,968.6947708637003,1015.302187250024,2184.3679927966396,0.011354145175550001,0.259060988700002,0.0,0.2,0.33333333333333304,1.0,0.0,mp-aaacrosg,mp-aaaaanro,mp-aaacrosg|mp-aaaaanro,insertion,,2025-09-19T09:44:52.663000Z,0.259060988700002
Li_000049,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5CuBH4ClO4,CuBH4ClO4,LiCu2B2H8(ClO4)2,CuBH4ClO4,B-Cl-Cu-H-O,B|Cl|Cu|H|O,2.3212014033333372,73.91071049683644,200.13109656474506,171.5616449266208,464.54458219672597,0.0053831102083000005,0.050101747386364005,0.07407104706521801,0.0,0.043478260869565,1.0,0.0,mp-aaacpube,mp-aaacsita,mp-aaacpube|mp-aaacsita,insertion,,2025-09-19T09:43:22.479000Z,0.07407104706521801
