shortlist_priority_rank,battery_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,final_triage_score,rank_median_mc,rank_iqr_mc,out_of_domain_flag,high_uncertainty_flag
29,Na0-1MnO2,MnO2,NaMnO2,2.692695221551724,243.81248636564385,656.5127169914138,0.163209534160819,0.015143706666666,0.5249631826747415,32.0,16.0,False,False
30,Na0-3.5Cr2(PO4)3,Cr2(PO4)3,Na7Cr4(PO4)6,3.702667313694579,199.85318274074345,739.9898472719805,0.162168072105599,0.062883002352944,0.5294724695993619,34.0,16.0,False,False
31,Na1-2NiCSO7,NaNiCSO7,Na2NiCSO7,4.12187752405173,102.7883136966566,423.6808399614274,0.028872810078638,0.045019359999999,0.5193117174610468,37.0,19.0,False,False
32,Na0-1CoPO4,CoPO4,NaCoPO4,3.762495864468388,151.51125369018754,570.0604654297514,0.050194594412819,0.038437671964286,0.5105849761131537,37.0,17.0,False,False
33,Na1-2CuP2O7,NaCuP2O7,Na2CuP2O7,4.083998061551728,94.54823680922271,386.13481585199935,0.029615707794994,0.0,0.5227500177528901,37.0,18.25,False,False
34,Na0-1MnPO4,MnPO4,NaMnPO4,3.387073626551728,155.01219683059955,525.0377236787692,0.173844509338984,0.002636648750002,0.5196332969203331,35.0,19.25,False,False
35,Na0-1K2MnF6,K2MnF6,K2NaMnF6,3.855023356551729,99.222544723181,382.5052274043613,0.0306355715763599,0.0,0.5187360005844088,39.0,19.0,False,False
36,Na1-3VPCO7,NaVPCO7,Na3VPCO7,2.440613730301724,194.99710311407105,475.9126072292628,0.063204372017703,0.036701005454538,0.5047110977933756,40.0,21.0,False,False
37,Na0-3V2(PO4)3,V2(PO4)3,Na3V2(PO4)3,3.348916998218388,176.415910700775,590.8022421020027,0.118606396177811,0.014576926617646,0.5114456062796692,40.0,20.0,False,False
38,Na1-2MnPCO7,NaMnPCO7,Na2MnPCO7,3.877459166551734,104.73507929194264,406.1059932600657,0.051845981444865,0.019404587272727,0.5028611067570268,42.0,21.0,False,False
39,Na0-1VP2O7,VP2O7,NaVP2O7,3.586303236551732,108.12516438539888,387.7696269880441,0.069555959226515,0.001825057000001,0.5072670118005523,43.0,23.0,False,False
40,Na0-1CuPO4,CuPO4,NaCuPO4,3.827826506551719,147.6607610751055,565.2197752208892,0.119355330983493,0.027282932857144,0.4877002002584112,47.0,25.0,False,False
41,Na0-1.29V2O5,V2O5,Na9V14O35,3.211356015440613,162.97450034225784,523.369142037538,0.061296319991463,0.025970106530612,0.4902258236563525,46.0,26.0,False,False
42,Na1.5-2.5NiPCO7,Na3Ni2P2(CO7)2,Na5Ni2P2(CO7)2,3.864610799051721,98.84444186871173,381.9952974720634,0.016761788141745,0.041895762391304,0.4909165403393448,45.0,22.0,False,False
43,Na0-4Ni7(PO4)6,Ni7(PO4)6,Na4Ni7(PO4)6,4.37764028905173,99.94575973892462,437.5265845530007,0.000745124247177,0.059097808108106,0.4885250217203786,46.0,23.0,False,False
44,Na1-2CuP2O7,NaCuP2O7,Na2CuP2O7,4.17689376405173,94.54823680922271,394.9179407305286,0.039693862506569,0.017396540909091,0.4890170938674689,48.0,21.0,False,False
45,Na0-3V2(PO4)3,V2(PO4)3,Na3V2(PO4)3,3.125016097385055,176.415910700775,551.3025607747662,0.168666455411796,0.035000853250026,0.4942420243131588,46.0,25.0,False,False
46,Na1-3CuCSO7,NaCuCSO7,Na3CuCSO7,2.9306589190517203,185.74294054510847,544.3492053594156,0.009740201868946,0.089562225192304,0.4879930573332542,44.0,23.0,False,False
47,Na0-1MnO2,MnO2,NaMnO2,2.681035694051722,243.81248636564385,653.66997860179,0.28175884889916,0.03293045,0.4753222148216521,51.0,21.0,False,False
48,Na0-1VPO5,VPO5,NaVPO5,3.419470574051725,144.9496306764634,495.650996817832,0.168405659897193,0.030552756249999,0.4776536493830625,51.0,25.25,False,False
49,Na0-1Mo(PO4)2,Mo(PO4)2,NaMo(PO4)2,4.090156524051739,86.77199080031944,354.91102427688406,0.022895756354055,0.014981788409095,0.4796622869497615,53.0,26.0,False,False
50,Na4-6Co2C4SO16,Na4Co2C4SO16,Na6Co2C4SO16,4.203535884051735,90.56035138236284,380.6736867080964,0.001708263473895,0.053681964518513,0.4736172885694374,55.0,22.0,False,False
51,Na0-2V3O7,V3O7,Na2V3O7,3.227863313218396,172.46779322370762,556.7024624585422,0.02420240741757,0.082158660000001,0.4587443095290471,57.0,27.0,False,False
52,Na4-6Ni2C4SO16,Na4Ni2C4SO16,Na6Ni2C4SO16,4.2998776990517245,90.63378747413866,389.7142015406423,0.017240021820524,0.046667437314811,0.4736360736828214,52.0,23.0,False,False
53,Na0-1MnPO4,MnPO4,NaMnPO4,3.297377866551716,155.01219683059955,511.1337868747771,0.205881717513334,0.010553695357143,0.4764357396516733,51.0,26.25,False,False
54,Na0-1VP2O7,VP2O7,NaVP2O7,3.607397424051729,108.12516438539888,390.0504394790577,0.045256791319093,0.004769900000001,0.4808989762863833,52.0,27.0,False,False
55,Na0-6Cu9(PO4)8,Cu9(PO4)8,Na6Cu9(PO4)8,4.016838964885053,109.42182510972124,439.529850709566,0.070111260876353,0.013042322500012,0.4580149936447115,58.5,28.25,False,False
56,Na4-6Ni2P(CO4)4,Na4Ni2P(CO4)4,Na6Ni2P(CO4)4,4.307202056551734,90.80132535062172,391.09965528782095,0.025521497748177,0.071954193611112,0.4506705389672589,61.0,24.0,False,False
57,Na0-1Rb2CrF6,Rb2CrF6,Rb2NaCrF6,4.498360276551725,74.46678479711632,334.978426653874,0.045265140264845,0.0,0.4712271192175009,60.0,26.0,False,False
