shortlist_priority_rank,battery_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,final_triage_score,rank_median_mc,rank_iqr_mc,out_of_domain_flag,high_uncertainty_flag
92,Na0-1LiMnPCO7,LiMnPCO7,NaLiMnPCO7,3.9608672665517193,111.74310762854812,442.599617268682,0.081468113058264,0.017613945681821,0.4017125870460538,92.0,36.25,True,False
94,Na3-6Fe2P(CO4)4,Na3Fe2P(CO4)4,Na6Fe2P(CO4)4,3.359924674885058,137.5291660407657,462.0876384967329,0.09467806839956,0.088606300096156,0.3881044772548833,94.5,36.0,False,False
95,Na0-3Li3Fe2P2(CO7)2,Li3Fe2P2(CO7)2,Na3Li3Fe2P2(CO7)2,3.2981303065517262,157.21100860251266,518.5023919955111,0.071961580205312,0.044305801277175,0.3899470797977811,97.5,39.0,True,False
96,Na2-3FeBPO7,Na2FeBPO7,Na3FeBPO7,3.662467991551725,96.20234988805166,352.3380271770489,0.015524595118022,0.055398535642364,0.3907360638470884,98.0,28.0,False,False
97,Na0-1Rb2MnF6,Rb2MnF6,Rb2NaMnF6,3.765955136551728,73.86302326840693,278.1648318788969,0.026796367130348,0.0,0.3917176130439279,99.0,34.25,False,False
98,Na0-1Cr(GeO3)2,Cr(GeO3)2,NaCr(GeO3)2,4.347084786551722,84.74447870869932,368.3914341388431,0.036350359127551,0.09468767537036,0.3824502924034429,103.0,33.0,False,False
99,Na0-2Ti3Fe(PO4)6,Ti3Fe(PO4)6,Na2Ti3Fe(PO4)6,4.137728261551732,65.75003780590923,272.05578962760546,0.021845213696363,0.055773818749994,0.3816152255653043,102.5,40.25,False,False
101,Na2-2.5MnPCO7,Na2MnPCO7,Na5Mn2P2(CO7)2,3.165659641551745,50.116323516569366,158.6512227393543,0.005333227300368,0.011072701249999,0.3859870061203321,105.0,35.0,False,False
102,Na0-3Li3Mn2P2(CO7)2,Li3Mn2P2(CO7)2,Na3Li3Mn2P2(CO7)2,3.357049196551727,157.7705659753254,529.6435517469774,0.127062703799178,0.035044891195608,0.3779689511167747,104.0,39.0,True,False
103,Na4-6Cu2C4SO16,Na4Cu2C4SO16,Na6Cu2C4SO16,3.7011811090517353,89.17050870384884,330.03620229921864,0.024367675293018,0.051603475370368,0.3689525487015377,104.0,42.0,False,False
104,Na0-0.5MnO2,MnO2,NaMn2O4,3.183568416551725,136.1424880137049,433.4189249912029,0.136504197715484,0.025369589583334,0.3714356094737105,108.0,37.25,False,False
105,Na4-6Mn2P(CO4)4,Na4Mn2P(CO4)4,Na6Mn2P(CO4)4,3.8806216990517193,91.97146445172773,356.9064606449384,0.032467488275242,0.074162639978776,0.3812097540923504,108.0,40.0,False,False
106,Na0-3Li3Mn2P2(CO7)2,Li3Mn2P2(CO7)2,Na3Li3Mn2P2(CO7)2,3.318277253218387,157.7705659753254,523.5264803033131,0.098095351235645,0.038387983461541,0.379804774179767,107.0,37.0,True,False
107,Na0-1MnAsO4,MnAsO4,NaMnAsO4,3.412239079051719,123.59626547938969,421.74000709362446,0.158095791572673,0.031322605,0.3658187429847214,109.0,37.0,False,False
108,Na2-3MnSiCO7,Na2MnSiCO7,Na3MnSiCO7,3.170831431551722,97.10704343897868,307.91006556137205,0.035664476688423,0.021623773910588,0.372087817991482,110.0,39.0,False,False
110,Na2-3FeBAsO7,Na2FeBAsO7,Na3FeBAsO7,3.612905546551719,83.09436392113066,300.21208829784,0.0252830495528,0.055858720148803,0.3598044391562822,113.5,36.25,False,False
112,Na0-0.67V2O5,V2O5,Na2V6O15,3.211569766551733,90.60377285915408,290.98033764997973,0.082652397052103,0.044422464565206,0.359470267442519,116.0,39.0,False,False
113,Na0-3Ti2(PO4)3,Ti2(PO4)3,Na3Ti2(PO4)3,2.3060194632183992,178.82858745608107,412.38220325357656,0.117365215997587,0.057148416293324,0.357956275465185,116.0,38.0,False,False
