target,protocol,split_name,n_predictions,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile,mean_tree_pred_std,median_tree_pred_std,median_domain_distance_percentile
max_delta_volume,P1,framework_groupkfold,3201,0.39186670364416215,0.15786963761524883,0.15772104836620293,0.04204978583042463,0.0313611980622309,60.64453125
max_delta_volume,P1,leave_chemical_system_out,2038,0.3282436064998234,0.16131314105931335,0.16083558320486696,0.04291604175199929,0.0365229884298738,77.71278741427996
max_delta_volume,P1,leave_family_out,3201,0.3036838209193705,0.005090468997209075,0.01301369248848853,0.0520524533774805,0.0429203117119833,97.34895191122072
max_delta_volume,P1,leave_working_ion_out,3201,0.3921470594688634,0.08795094958030746,0.07398329716382482,0.06497478705408265,0.0607969181485051,87.43875278396438
max_delta_volume,P1,random_split,3205,0.4140657937211096,0.1361328718276835,0.1329839682563318,0.03842148725750115,0.0276926031755984,50.634765625
max_delta_volume,P2,framework_groupkfold,3201,0.4303354488298951,0.20820479186041801,0.20832829691392585,0.048630764901347844,0.0375182281585136,58.642578125
max_delta_volume,P2,leave_chemical_system_out,2038,0.3446758406893464,0.1759433530111791,0.1761487432792963,0.04863824148087866,0.0424145627584202,75.16185131296334
max_delta_volume,P2,leave_family_out,3201,0.3545379727496638,-0.012421549454488675,-0.008484684491234103,0.056398894282756934,0.0454201136506832,97.37732656514385
max_delta_volume,P2,leave_working_ion_out,3201,0.45764237850156503,0.08571156706747533,0.08101341866590388,0.06958591543848863,0.0626520377871352,85.38975501113586
max_delta_volume,P2,random_split,3205,0.5044341422942046,0.24966756519805017,0.24896789077617382,0.04770871207657875,0.0354972072404508,49.755859375
max_delta_volume,P3,framework_groupkfold,3201,0.4550363087269144,0.27330651253580385,0.27367182161035336,0.052223012138092724,0.0411169903998633,55.419921875
max_delta_volume,P3,leave_chemical_system_out,2038,0.36475413868522566,0.19166488210017776,0.19076562939012837,0.05002343793898576,0.0432921385762394,63.40545083878449
max_delta_volume,P3,leave_family_out,3201,0.3427269734473592,-0.002280324884810161,-0.0012281100384676225,0.0583588334873781,0.0501485590670461,96.54747225647348
max_delta_volume,P3,leave_working_ion_out,3201,0.4812864872704325,0.14069368034973453,0.12561277935555498,0.07586828223977846,0.0676582474869679,80.4147465437788
max_delta_volume,P3,random_split,3205,0.5213240254395867,0.3062121601688561,0.306245302644755,0.05205987652553491,0.0403327910883285,49.4140625
stability_worst,P1,framework_groupkfold,3201,0.3398533439831964,0.08244246759616697,0.08363480508952852,0.05736248862207775,0.0379485127581257,60.64453125
stability_worst,P1,leave_chemical_system_out,2038,0.22298566668706782,0.156742730208895,0.15687570005388046,0.053469887006710376,0.0458325796264644,77.71278741427996
stability_worst,P1,leave_family_out,3201,0.2678340946022877,0.24654080713406892,0.24492839087426221,0.08180298156298367,0.0683424686546085,97.34895191122072
stability_worst,P1,leave_working_ion_out,3201,0.3128017688463215,0.09823064350527587,0.10311058018522744,0.0817098431580866,0.0697513668133796,87.43875278396438
stability_worst,P1,random_split,3205,0.34940924923823363,0.08778773453091827,0.08698240427787371,0.048957640076547335,0.0290351284301484,50.634765625
