protocol,split_name,fold_id,heldout_group,status,error,n_train,n_test,n_features,elapsed_seconds,timestamp_utc,imputer_fit_scope,x_scaler_fit_scope,y_scaler_fit_scope,outer_test_used_for_fit_or_early_stopping,pass
P1,leave_chemical_system_out,62,Cr-Ni-O,OK,,3193,8,73,9.592790365219116,2026-07-11T16:44:33.606356+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,63,Mo-O,OK,,3193,8,73,8.65443229675293,2026-07-11T16:44:42.260788+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,64,Co-Mn-O-P,OK,,3193,8,73,9.06038498878479,2026-07-11T16:44:51.336799+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,65,Cr-F,OK,,3193,8,73,5.637139558792114,2026-07-11T16:44:56.973938+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,66,C-Fe-Na-O-P,OK,,3194,7,73,8.021158933639526,2026-07-11T16:45:05.010725+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,67,Cr-Mn-O-P,OK,,3194,7,73,12.40216302871704,2026-07-11T16:45:17.412888+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,68,Cr-O-Si,OK,,3194,7,73,12.525129079818726,2026-07-11T16:45:29.938017+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,69,H-Mn-O-S,OK,,3194,7,73,10.863760709762571,2026-07-11T16:45:40.801778+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,70,H-O-P-V,OK,,3194,7,73,6.937018632888794,2026-07-11T16:45:47.741808+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,71,Mn-O-S,OK,,3194,7,73,14.07860255241394,2026-07-11T16:46:01.820410+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
