target,protocol,split_name,ad_flag,n_predictions,mae,median_absolute_error,rmse,median_tree_pred_std,median_knn_distance,conformal_coverage
energy_grav,P3,leave_working_ion_out,out_of_domain,155,140.46464974278751,100.85777985207416,192.27492159462128,221.79711445892133,14.733584343106106,0.864516129032258
energy_grav,P3,random_split,borderline,194,108.07157677351755,75.29736328152197,154.79431649421437,192.29769055379342,9.478408618365778,0.9020618556701031
energy_grav,P3,random_split,in_domain,2902,90.05363591827128,66.85576690293723,127.26026325714278,168.02732167322642,4.141154949978886,0.9641626464507237
energy_grav,P3,random_split,out_of_domain,109,130.70498659203255,85.08328635251024,192.62921376100266,175.0973222649277,15.763488100773774,0.8440366972477065
max_delta_volume,P1,framework_groupkfold,borderline,246,0.05422501493848458,0.03280428251342545,0.0807915763084006,0.05890988941421775,5.933393101418997,0.8861788617886179
max_delta_volume,P1,framework_groupkfold,in_domain,2860,0.03220464961933929,0.022152182461990598,0.04990309918862588,0.0303005576475412,1.5775167773013847,0.9660839160839161
max_delta_volume,P1,framework_groupkfold,out_of_domain,95,0.1682798623368543,0.0782711174694706,0.34112176556482376,0.1280018225058179,10.297721396931776,0.6736842105263158
max_delta_volume,P1,leave_chemical_system_out,borderline,188,0.05161639054348855,0.0343616760583155,0.08274493803631823,0.05908349781335445,5.063447595406238,0.9202127659574468
max_delta_volume,P1,leave_chemical_system_out,in_domain,1833,0.03267093462591183,0.0251146893065435,0.04815107460552332,0.0355432184513942,2.763817121397968,0.9699945444626296
max_delta_volume,P1,leave_chemical_system_out,out_of_domain,17,0.09099262440300276,0.0792249972379341,0.12089059734380914,0.1507485328578498,7.980315167678286,0.7647058823529411
max_delta_volume,P1,leave_family_out,borderline,697,0.040065966171718016,0.0287893698474247,0.06297799765918019,0.0478251099154769,5.688072596096445,0.9469153515064562
max_delta_volume,P1,leave_family_out,in_domain,864,0.03787360509152392,0.02913539104304495,0.053759951971911364,0.0411501212927306,4.189284152817031,0.9560185185185185
max_delta_volume,P1,leave_family_out,out_of_domain,1640,0.04504215353419519,0.0280003333831382,0.09868045143263371,0.041749385515846296,11.985237364653601,0.9457317073170731
max_delta_volume,P1,leave_working_ion_out,borderline,645,0.0489872895775617,0.0386113214419828,0.06435517526997778,0.0657125114071521,6.554876150845601,0.9875968992248062
max_delta_volume,P1,leave_working_ion_out,in_domain,2204,0.0544558066913006,0.040020617124380445,0.07260908577191683,0.05673127634271715,4.958978472727351,0.9909255898366606
max_delta_volume,P1,leave_working_ion_out,out_of_domain,352,0.09065483171776093,0.055652738067100596,0.18714194494134842,0.0644418183704492,9.50555504629935,0.8352272727272727
max_delta_volume,P1,random_split,borderline,169,0.06519113928647181,0.0344762201343695,0.118667707044515,0.0596916127333373,6.03189395260979,0.8816568047337278
max_delta_volume,P1,random_split,in_domain,2925,0.03275625825146217,0.0215947302835484,0.049535027485334435,0.0262581685373107,1.145586974649216,0.9658119658119658
max_delta_volume,P1,random_split,out_of_domain,111,0.12826602596379003,0.0642646688516639,0.23165573797859143,0.1279776992601533,9.978418782521166,0.7297297297297297
max_delta_volume,P2,framework_groupkfold,borderline,249,0.055685835166417,0.0339469982209318,0.0819803746054978,0.0664291233246735,6.431084777516469,0.8755020080321285
