target,protocol,split_name,bin_type,bin,n_predictions,mae,median_absolute_error,rmse,mean_tree_pred_std,median_knn_distance,conformal_coverage,median_conformal_width
max_delta_volume,P3,leave_working_ion_out,domain_distance_bin,Q3,640,0.06390406061654566,0.04889775372117655,0.08260557094638606,0.07643380662600222,6.950062583915295,0.9703125,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,domain_distance_bin,Q4,640,0.055406824221193196,0.042283325905469404,0.0714359250993175,0.07935196235781464,7.6954194165671606,0.975,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,domain_distance_bin,Q5_farthest,640,0.07198865939971491,0.04747469857247735,0.13865676516455186,0.09426727969450384,9.954238598684281,0.884375,0.3514326938091694
max_delta_volume,P3,random_split,tree_uncertainty_bin,Q1_lowest,641,0.013069562524793838,0.0099832961114248,0.020519910212885153,0.020298943194150692,2.2269069608590155,0.9968798751950078,0.2066316886839934
max_delta_volume,P3,random_split,tree_uncertainty_bin,Q2,641,0.019967917469606498,0.0177455623819135,0.0265376972709973,0.03167237472711019,3.382120580352629,0.9921996879875195,0.2066316886839934
max_delta_volume,P3,random_split,tree_uncertainty_bin,Q3,641,0.026401711780048562,0.0225082474984327,0.035774841064770975,0.040230778970096595,3.8019562305041,0.9875195007800313,0.2066316886839934
max_delta_volume,P3,random_split,tree_uncertainty_bin,Q4,641,0.03446014889237883,0.0291872052165635,0.04525251077681026,0.05223858545221966,4.519614511798111,0.9703588143525741,0.2066316886839934
max_delta_volume,P3,random_split,tree_uncertainty_bin,Q5_highest,641,0.07266898009261918,0.0516506668584787,0.12370751864329194,0.11585870028409741,6.045498202696804,0.8190327613104524,0.2066316886839934
max_delta_volume,P3,random_split,domain_distance_bin,Q1_nearest,641,0.019442121167728747,0.0134346515402534,0.029356616439709608,0.02689024843544813,1.8360617526343568,0.9937597503900156,0.2066316886839934
max_delta_volume,P3,random_split,domain_distance_bin,Q2,641,0.024231359555985148,0.0185080777504353,0.03389063256913851,0.036718425767567134,3.0242314578309517,0.9859594383775351,0.2066316886839934
max_delta_volume,P3,random_split,domain_distance_bin,Q3,641,0.031270024925764285,0.0215876564409245,0.04764406905184999,0.04401590346407535,3.8598858306372223,0.9563182527301092,0.2066316886839934
max_delta_volume,P3,random_split,domain_distance_bin,Q4,641,0.031895122854311876,0.0244662805971045,0.045809239780826384,0.052709670940104036,4.985999379130497,0.9656786271450858,0.2066316886839934
max_delta_volume,P3,random_split,domain_distance_bin,Q5_farthest,641,0.05972969225565685,0.0359264143721145,0.11566185877569177,0.09996513402047986,7.252500526262368,0.8642745709828393,0.2066316886839934
stability_worst,P1,framework_groupkfold,tree_uncertainty_bin,Q1_lowest,650,0.02416546819332718,0.0165526201610782,0.04940707413336865,0.02105565105108746,1.1960382913740548,0.9907692307692307,0.299402409523657
stability_worst,P1,framework_groupkfold,tree_uncertainty_bin,Q2,632,0.027840150837626008,0.0198778701527872,0.04277099248964471,0.028915239193255105,1.57339680678047,0.9889240506329114,0.299402409523657
stability_worst,P1,framework_groupkfold,tree_uncertainty_bin,Q3,639,0.03789323031963806,0.0220349629336938,0.10940534035628578,0.03826600623104626,1.6666645015860166,0.97339593114241,0.299402409523657
stability_worst,P1,framework_groupkfold,tree_uncertainty_bin,Q4,640,0.04153127171941905,0.028262200723157202,0.077525695018647,0.05838709785809225,2.547911364774306,0.9671875,0.299402409523657
stability_worst,P1,framework_groupkfold,tree_uncertainty_bin,Q5_highest,640,0.0909543640687811,0.0520423675523348,0.1788630279159477,0.14037031424235816,3.1761783246063486,0.840625,0.299402409523657
stability_worst,P1,framework_groupkfold,domain_distance_bin,Q1_nearest,641,0.04921533648873797,0.0255908611893343,0.12543413679078597,0.053618846307283655,0.6939616859344592,0.921996879875195,0.299402409523657
stability_worst,P1,framework_groupkfold,domain_distance_bin,Q2,641,0.03502402393191617,0.0240428856584629,0.07236605749566484,0.04087873031409427,1.1529710185692443,0.982839313572543,0.299402409523657
stability_worst,P1,framework_groupkfold,domain_distance_bin,Q3,639,0.030502979815931745,0.0179458331255685,0.08429485850392593,0.04711367039137011,1.774527739496417,0.9874804381846636,0.299402409523657
stability_worst,P1,framework_groupkfold,domain_distance_bin,Q4,640,0.04139274947431859,0.0228928113462647,0.08903674101413235,0.056087032244509685,2.857833469681175,0.959375,0.299402409523657
stability_worst,P1,framework_groupkfold,domain_distance_bin,Q5_farthest,640,0.066135807715868,0.0346152446747814,0.13495679402028354,0.08912975538811867,4.982530481212396,0.909375,0.299402409523657
