record_index,working_ion,electrode_uid,framework_uid,coarse_family,chemsys,host_chemsys_no_working_ion,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets
Li_000100,Li,el_7a92639d53b43507,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000101,Li,el_e71f2e260958f22d,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000102,Li,el_73ea05af4a4c9b06,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000103,Li,el_2e9410b6fd0856a3,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000104,Li,el_964ef1f6da53e478,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000105,Li,el_09e4579814fdf249,Li|MnBPO7,polyanion_phosphate_like,B-Mn-O-P,B-Mn-O-P,True,True,True,True,True,True,True,True,True,True,True,True
Li_000106,Li,el_745244037161ca73,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000107,Li,el_23def158803feae6,Li|NiBO3,transition_metal_oxide_like,B-Ni-O,B-Ni-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000108,Li,el_f38bdcdc24baaf03,Li|VBPO7,polyanion_phosphate_like,B-O-P-V,B-O-P-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000109,Li,el_199a0f139a08e187,Li|V5(BO5)2,transition_metal_oxide_like,B-O-V,B-O-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000110,Li,el_d48716ce1240e174,Li|Ti(BO3)2,transition_metal_oxide_like,B-O-Ti,B-O-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000111,Li,el_fadb5d0f3da4f7c6,Li|Sn(BO3)2,oxide_like_other,B-O-Sn,B-O-Sn,True,True,True,True,True,True,True,True,True,True,True,True
Li_000112,Li,el_cffa068a0b1ccf24,Li|Sn(BO3)2,oxide_like_other,B-O-Sn,B-O-Sn,True,True,True,True,True,True,True,True,True,True,True,True
Li_000113,Li,el_949631c6d267a846,Li|VBO4,transition_metal_oxide_like,B-O-V,B-O-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000114,Li,el_13f105f24db3e589,Li|BaTi2Bi2O,transition_metal_oxide_like,Ba-Bi-O-Ti,Ba-Bi-O-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000115,Li,el_dc93a997573657b0,Li|BaCO3,organic_or_carbon_like,Ba-C-O,Ba-C-O,True,False,True,True,False,False,True,True,True,True,False,False
Li_000116,Li,el_29670a220fc60f5b,Li|Ba6Nb2Ir(ClO6)2,transition_metal_oxide_like,Ba-Cl-Ir-Nb-O,Ba-Cl-Ir-Nb-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000117,Li,el_c36aa096c6daf3f0,Li|BaCaVP2O9,polyanion_phosphate_like,Ba-Ca-O-P-V,Ba-Ca-O-P-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000118,Li,el_c2ab962b22ab6f96,Li|K2BaCo(NO2)6,transition_metal_oxide_like,Ba-Co-K-N-O,Ba-Co-K-N-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000119,Li,el_d907c8259297e30c,Li|Ba2SmCoCu2O7,transition_metal_oxide_like,Ba-Co-Cu-O-Sm,Ba-Co-Cu-O-Sm,True,True,True,True,True,True,True,True,True,True,True,True
Li_000120,Li,el_b45eea9642bec2db,Li|Ba2Eu(CuO2)4,transition_metal_oxide_like,Ba-Cu-Eu-O,Ba-Cu-Eu-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000121,Li,el_5ea1073449dc3150,Li|Ba2LaCu3O7,transition_metal_oxide_like,Ba-Cu-La-O,Ba-Cu-La-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000122,Li,el_9d210e5ac925798a,Li|BaSrNdTlCu2O7,transition_metal_oxide_like,Ba-Cu-Nd-O-Sr-Tl,Ba-Cu-Nd-O-Sr-Tl,True,True,True,True,True,True,True,True,True,True,True,True
Li_000123,Li,el_af2da3fa665b4324,Li|Ba2(CuO2)3,transition_metal_oxide_like,Ba-Cu-O,Ba-Cu-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000124,Li,el_96c1abf4d96608f0,Li|Ba2TmCu3O7,transition_metal_oxide_like,Ba-Cu-O-Tm,Ba-Cu-O-Tm,True,True,True,True,True,True,True,True,True,True,True,True
Li_000125,Li,el_05b0eb23b4b72a48,Li|Ba4Y2Cu5O14,transition_metal_oxide_like,Ba-Cu-O-Y,Ba-Cu-O-Y,True,True,True,True,True,True,True,True,True,True,True,True
Li_000126,Li,el_3599653dd2d5aa2f,Li|BaYCu2O5,transition_metal_oxide_like,Ba-Cu-O-Y,Ba-Cu-O-Y,True,True,True,True,True,True,True,True,True,True,True,True
Li_000127,Li,el_d0d5a902d9cdcc46,Li|Ba14Y7(Cu10O21)2,transition_metal_oxide_like,Ba-Cu-O-Y,Ba-Cu-O-Y,True,True,True,True,True,True,True,True,True,True,True,True
Li_000128,Li,el_f57e63fcf1d24650,Li|BaV2Ni3(HO5)2,transition_metal_oxide_like,Ba-H-Ni-O-V,Ba-H-Ni-O-V,True,False,True,True,False,False,True,True,True,True,False,False
Li_000129,Li,el_2048bce65348b5e1,Li|BaMnO3,transition_metal_oxide_like,Ba-Mn-O,Ba-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000130,Li,el_6753356c4b4f187b,Li|BaMnP2O7,polyanion_phosphate_like,Ba-Mn-O-P,Ba-Mn-O-P,True,False,True,True,False,False,True,True,True,True,False,False
Li_000131,Li,el_bbebb2596cb4c3d2,Li|Ba4Nb3O12,transition_metal_oxide_like,Ba-Nb-O,Ba-Nb-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000132,Li,el_54d5e186e71485c0,Li|Ba8Nb7O24,transition_metal_oxide_like,Ba-Nb-O,Ba-Nb-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000133,Li,el_6a0e688d0703e284,Li|BaNiO3,transition_metal_oxide_like,Ba-Ni-O,Ba-Ni-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000134,Li,el_44c132616c03d1cf,Li|BaNiO2,transition_metal_oxide_like,Ba-Ni-O,Ba-Ni-O,True,False,True,True,False,False,True,True,True,True,False,False
Li_000135,Li,el_e7fe2b0c14e8bd4d,Li|Ba6Ti7Nb9O42,transition_metal_oxide_like,Ba-Nb-O-Ti,Ba-Nb-O-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000136,Li,el_c4b7269895c5d469,Li|Ba2VP2O9,polyanion_phosphate_like,Ba-O-P-V,Ba-O-P-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000137,Li,el_307fbe067566b8f7,Li|RbBa4Sb3O,oxide_like_other,Ba-O-Rb-Sb,Ba-O-Rb-Sb,True,False,True,True,False,False,True,True,True,True,False,False
Li_000138,Li,el_b53962fe6b84f776,Li|BaVSi2O7,silicate_like,Ba-O-Si-V,Ba-O-Si-V,True,False,True,True,False,False,True,True,True,True,False,False
Li_000139,Li,el_10bdb4ec5ac99244,Li|Ba6Ti7(Sb3O14)3,transition_metal_oxide_like,Ba-O-Sb-Ti,Ba-O-Sb-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000140,Li,el_96641de0e7524285,Li|BaVSi2O7,silicate_like,Ba-O-Si-V,Ba-O-Si-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000141,Li,el_9805bf181c6da529,Li|Ba2TbSnO6,oxide_like_other,Ba-O-Sn-Tb,Ba-O-Sn-Tb,True,True,True,True,True,True,True,True,True,True,True,True
Li_000142,Li,el_2695a2b9d57f252a,Li|Ba6Ta9Ti7O42,transition_metal_oxide_like,Ba-O-Ta-Ti,Ba-O-Ta-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000143,Li,el_56c3e96049f299e0,Li|Ba3Ti3O8,transition_metal_oxide_like,Ba-O-Ti,Ba-O-Ti,True,False,True,True,False,False,True,True,True,True,False,False
Li_000144,Li,el_09e7db33fdc4cc65,Li|Ba4Ti19O44,transition_metal_oxide_like,Ba-O-Ti,Ba-O-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000145,Li,el_3425fc6912f6d6cf,Li|Ba2Ti11O24,transition_metal_oxide_like,Ba-O-Ti,Ba-O-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000146,Li,el_0e84fcf6f3aa4353,Li|Bi,other_or_unclear,Bi,Bi,True,True,True,True,True,True,True,True,True,True,True,True
Li_000147,Li,el_8b286653c81dd024,Li|Bi3PbWClO8,transition_metal_oxide_like,Bi-Cl-O-Pb-W,Bi-Cl-O-Pb-W,True,True,True,True,True,True,True,True,True,True,True,True
