target,model_name,split_name,leaky_protocol,clean_protocol,effect_metric,n_paired_folds,mean_effect,median_effect,sd_effect,positive_effect_fraction
average_voltage,ExtraTrees,leave_working_ion_out,P0,P1,spearman_leaky_minus_clean,3,0.19535320432082212,0.16320576193967162,0.0935302317417174,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P2,mae_clean_minus_leaky,3,0.28558347974309684,0.2590507458462315,0.08235736803732042,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P2,rmse_clean_minus_leaky,3,0.3857919970961987,0.3376952363498021,0.08359893879382078,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P2,r2_leaky_minus_clean,3,0.2943300862735982,0.2957197538658495,0.06719064523270447,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P2,spearman_leaky_minus_clean,3,0.18484510903107074,0.15817159441320527,0.08043652372299573,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P3,mae_clean_minus_leaky,3,0.2073971849738754,0.20820189138771328,0.008392058654131953,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P3,rmse_clean_minus_leaky,3,0.24928279711791665,0.24273648610114895,0.028664036830483797,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P3,r2_leaky_minus_clean,3,0.1703575308873813,0.17635689787146847,0.05150053931378385,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P3,spearman_leaky_minus_clean,3,0.08544086596345953,0.06410290996506185,0.048185196067576895,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P1,mae_clean_minus_leaky,3,0.5435297094108474,0.6006956343393073,0.10839518721709726,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P1,rmse_clean_minus_leaky,3,0.7244473724217687,0.7858249040272354,0.11696566533948716,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P1,r2_leaky_minus_clean,3,0.40428447228093417,0.3580644095238117,0.16381074392944697,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P1,spearman_leaky_minus_clean,3,0.2405277178398673,0.1796469010653744,0.13976080119505366,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P2,mae_clean_minus_leaky,3,0.5387610695977548,0.5913840246595942,0.09879557034996413,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P2,rmse_clean_minus_leaky,3,0.715936413190065,0.7676285801115493,0.09516855080931416,1.0
