target,model_name,protocol,hard_split,random_mae,hard_split_mae,mae_delta_hard_minus_random,mae_ratio_hard_over_random
energy_grav,Ridge,P0,leave_family_out,18.654418102699296,73.77005167396236,55.11563357126306,3.9545619310037776
energy_grav,Ridge,P0,leave_chemical_system_out,18.654418102699296,15.771938680078156,-2.88247942262114,0.8454800676841244
energy_grav,Ridge,P0,leave_working_ion_out,18.654418102699296,108.54081292459493,89.88639482189564,5.818504352536682
energy_grav,Ridge,P1,framework_groupkfold,168.0684936868948,174.42142310247482,6.352929415580007,1.0377996451102565
energy_grav,Ridge,P1,leave_family_out,168.0684936868948,312.3267363132768,144.25824262638199,1.858330074018094
energy_grav,Ridge,P1,leave_chemical_system_out,168.0684936868948,184.2005894080651,16.132095721170288,1.0959852460582158
energy_grav,Ridge,P1,leave_working_ion_out,168.0684936868948,177.87856547801653,9.810071791121715,1.0583694872008402
energy_grav,Ridge,P2,framework_groupkfold,132.06256943720422,135.56004811395056,3.49747867674634,1.026483497115429
energy_grav,Ridge,P2,leave_family_out,132.06256943720422,368.9344619994482,236.871892562244,2.7936338325968784
energy_grav,Ridge,P2,leave_chemical_system_out,132.06256943720422,133.85067800700136,1.7881085697971457,1.0135398590033293
energy_grav,Ridge,P2,leave_working_ion_out,132.06256943720422,187.31625389346812,55.2536844562639,1.4183901970992396
energy_grav,Ridge,P3,framework_groupkfold,115.1604391955616,121.08718009190802,5.9267408963464305,1.0514650772239749
energy_grav,Ridge,P3,leave_family_out,115.1604391955616,318.62856380654273,203.46812461098114,2.7668231037696756
energy_grav,Ridge,P3,leave_chemical_system_out,115.1604391955616,117.18245908492786,2.0220198893662626,1.0175582856707635
energy_grav,Ridge,P3,leave_working_ion_out,115.1604391955616,165.85902548512703,50.69858628956544,1.4402430786450093
energy_grav,Ridge,P4,framework_groupkfold,0.9194505452639292,0.8709532859029098,-0.04849725936101945,0.9472540860290661
energy_grav,Ridge,P4,leave_family_out,0.9194505452639292,3.2250137352420722,2.305563189978143,3.507544534998703
energy_grav,Ridge,P4,leave_chemical_system_out,0.9194505452639292,0.5941494441632542,-0.325301101100675,0.6462005457756328
energy_grav,Ridge,P4,leave_working_ion_out,0.9194505452639292,6.20870178211873,5.289251236854801,6.7526217849340835
energy_grav,ExtraTrees,P0,framework_groupkfold,10.021473508623593,12.204351001656631,2.182877493033038,1.2178200133098838
energy_grav,ExtraTrees,P0,leave_family_out,10.021473508623593,30.582865218904566,20.561391710280972,3.0517333795861115
energy_grav,ExtraTrees,P0,leave_chemical_system_out,10.021473508623593,12.930085398922552,2.9086118902989586,1.2902379463255642
energy_grav,ExtraTrees,P0,leave_working_ion_out,10.021473508623593,19.176067281853637,9.154593773230044,1.9134977770836206
energy_grav,ExtraTrees,P1,framework_groupkfold,139.31604217323041,147.12633623957805,7.8102940663476375,1.056061699316982
