protocol,split_name,fold_id,heldout_group,any_negative_prediction_rate__softconstrained_direct,any_negative_prediction_rate__unconstrained_direct,energy_consistency_mae__softconstrained_direct,energy_consistency_mae__unconstrained_direct,stability_consistency_mae__softconstrained_direct,stability_consistency_mae__unconstrained_direct,energy_consistency_reduction,stability_consistency_reduction,negative_rate_reduction
P1,leave_chemical_system_out,33,Co-Ni-O,0.0,0.0,9.90065860748291,30.09928131103516,0.0045465314760804,0.0104723302647471,20.19862270355225,0.005925798788666699,0.0
P1,leave_chemical_system_out,34,Fe-Mn-O,0.0,0.0,26.8187313079834,43.9895133972168,0.0104399509727954,0.0078409016132354,17.1707820892334,-0.002599049359559999,0.0
P1,leave_chemical_system_out,35,Mn-O-V,0.0,0.0,22.429378509521484,28.50939178466797,0.0057416041381657,0.0241365171968936,6.080013275146484,0.018394913058727896,0.0
P1,leave_chemical_system_out,36,Mn-O-Si,0.0,0.0,28.49405097961425,34.90559005737305,0.0017471102764829,0.0138665260747075,6.411539077758796,0.012119415798224599,0.0
P1,leave_chemical_system_out,37,Mn-O-Ti,0.0,0.0,15.838619232177734,48.368011474609375,0.0132096074521541,0.0069080502726137,32.52939224243164,-0.006301557179540401,0.0
P1,leave_chemical_system_out,38,Co-O-Si,0.0588235294117647,0.0588235294117647,23.52403259277344,21.42159652709961,0.0211257264018058,0.0075106061995029,-2.1024360656738317,-0.013615120202302902,0.0
P1,leave_chemical_system_out,39,Cr-Fe-O,0.0,0.0,11.30827522277832,35.8117561340332,0.0208600126206874,0.0105751166120171,24.503480911254883,-0.010284896008670302,0.0
P1,leave_chemical_system_out,40,Fe-Mn-O-P,0.0,0.0,23.230676651000977,42.76249313354492,0.0172603279352188,0.0066652367822825,19.531816482543945,-0.0105950911529363,0.0
P1,leave_chemical_system_out,41,Mn-Ni-O,0.0,0.1875,33.36827087402344,44.32841491699219,0.0088664647191762,0.012533139437437,10.96014404296875,0.0036666747182607998,0.1875
P1,leave_chemical_system_out,42,O-Si-V,0.125,0.0,18.042282104492188,8.722623825073242,0.0082823410630226,0.0101863630115985,-9.319658279418945,0.0019040219485759007,-0.125
P1,leave_chemical_system_out,43,C-Fe-O-P,0.0,0.0,17.963092803955078,47.06902694702149,0.0170366894453763,0.0180122759193182,29.105934143066413,0.0009755864739419001,0.0
P1,leave_chemical_system_out,44,Fe-O-V,0.0,0.0666666666666666,19.72675514221192,27.221548080444336,0.007083645556122,0.0170849319547414,7.494792938232415,0.010001286398619401,0.0666666666666666
P1,leave_chemical_system_out,45,Co-Cr-O,0.0,0.0,5.9056925773620605,71.82447814941406,0.0149075407534837,0.0248492080718278,65.918785572052,0.009941667318344099,0.0
P1,leave_chemical_system_out,46,Co-Fe-Mn-O-P,0.0,0.0,9.16107177734375,23.93585205078125,0.0100819468498229,0.0100576281547546,14.7747802734375,-2.431869506829866e-05,0.0
P1,leave_chemical_system_out,47,C-Mn-O-P,0.0,0.0,25.21889877319336,32.93163299560547,0.0153440330177545,0.0063575147651135,7.712734222412109,-0.008986518252640999,0.0
P1,leave_chemical_system_out,48,Mn-O-P-V,0.0,0.0,14.29400634765625,15.24301815032959,0.0150570021942257,0.008297823369503,0.9490118026733398,-0.006759178824722699,0.0
P1,leave_chemical_system_out,49,Co-O-V,0.0,0.1538461538461538,32.08228302001953,73.29533386230469,0.0030461330898106,0.0050073098391294,41.213050842285156,0.0019611767493188004,0.1538461538461538
P1,leave_chemical_system_out,50,C-Fe-O,0.0,0.0,9.587077140808104,86.19000244140625,0.0142135620117187,0.0504622161388397,76.60292530059814,0.036248654127121,0.0
P1,leave_chemical_system_out,51,C-O-V,0.0,0.0,62.01728439331055,13.139434814453123,0.0043668216094374,0.0166965406388044,-48.87784957885742,0.012329719029367001,0.0
P1,leave_chemical_system_out,52,Fe-Ni-O,0.0,0.5833333333333334,12.97040557861328,22.863988876342773,0.003280725562945,0.0116171641275286,9.893583297729494,0.0083364385645836,0.5833333333333334
