target,protocol,split_name,model_name,n_folds,n_train_min,n_train_median,n_train_max,n_test_min,n_test_median,n_test_max,median_n_features,total_fit_seconds,median_fit_seconds,rmse_mean,rmse_std,rmse_ci95_lower,rmse_ci95_upper,mae_mean,mae_std,mae_ci95_lower,mae_ci95_upper,r2_mean,r2_std,r2_ci95_lower,r2_ci95_upper,spearman_mean,spearman_std,spearman_ci95_lower,spearman_ci95_upper,top10_hit_rate_mean,top10_hit_rate_std,top10_hit_rate_ci95_lower,top10_hit_rate_ci95_upper,top20_hit_rate_mean,top20_hit_rate_std,top20_hit_rate_ci95_lower,top20_hit_rate_ci95_upper,top10pct_hit_rate_mean,top10pct_hit_rate_std,top10pct_hit_rate_ci95_lower,top10pct_hit_rate_ci95_upper
max_delta_volume,P2,framework_groupkfold,ExtraTrees,5,2560,2561.0,2561,640,640.0,641,77.0,4.432487487792969,0.8900134563446045,0.07819455752433488,0.02630949319142418,0.05513326995433468,0.10125584509433508,0.03625023597261036,0.002310749638779965,0.03422477461026269,0.03827569733495803,-0.01843456884981385,0.5034160695746698,-0.45969820944342615,0.4228290717437984,0.52990659640545,0.0349949378298172,0.49923218094195665,0.5605810118689432,0.1,0.07071067811865477,0.03801935786069976,0.16198064213930025,0.13,0.0670820393249937,0.0712,0.18880000000000002,0.24312499999999998,0.05427972975706494,0.19554671910945076,0.2907032808905492
max_delta_volume,P2,leave_chemical_system_out,ExtraTrees,75,3048,3184.0,3194,7,17.0,153,77.0,76.21401882171631,1.0105369091033936,0.044006660117379685,0.02706458888745054,0.03788136702694664,0.05013195320781272,0.032510624703431905,0.01911328167358682,0.02818488184224964,0.036836367564614156,-0.23957629813378015,1.1723091452037493,-0.5048948343520633,0.025742238084503072,0.3338498503945092,0.2924572733310856,0.26766053848471605,0.40003916230430236,0.6506666666666666,0.3120868440005092,0.5800347646961266,0.7212985686372066,0.8533333333333334,0.23254370895936222,0.800703737530645,0.9059629291360217,0.17908297258297257,0.26189278358338164,0.11981105589550374,0.2383548892704414
max_delta_volume,P2,leave_family_out,DummyMean,10,2027,3082.5,3191,10,118.5,1174,77.0,0.2129957675933833,0.020999670028686503,0.10398830244803152,0.10725828692208761,0.037508927466108524,0.1704676774299545,0.062251320037490766,0.04328788715816392,0.03542120960832509,0.08908143046665645,-0.19656641175732312,0.22811291414496784,-0.3379522607470449,-0.05518056276760144,,,,,0.2,0.31269438398822863,0.006190012870566669,0.3938099871294334,0.31,0.3799122705748438,0.07452793513171602,0.5454720648682838,0.19644886383574664,0.2893057081368167,0.01713532818689789,0.3757623994845954
max_delta_volume,P2,leave_working_ion_out,ExtraTrees,3,543,2807.0,3052,149,394.0,2658,77.0,2.323931932449341,0.9179317951202391,0.10665793643979789,0.03853655207698551,0.06304972255783417,0.1502661503217616,0.06524322056528527,0.020479909036296155,0.042068021814919386,0.08841841931565114,-0.0706886384830683,0.2929113243519302,-0.40214900513109053,0.260771728164954,0.39365624364781454,0.19137961854886482,0.17708981804608834,0.6102226692495407,0.10000000000000002,0.1,-0.013160652761166639,0.2131606527611667,0.13333333333333333,0.07637626158259733,0.04690545717189003,0.21976120949477662,0.1925020885547201,0.07365832104182271,0.10914985165087775,0.2758543254585624
max_delta_volume,P2,random_split,ExtraTrees,5,2560,2560.0,2560,641,641.0,641,77.0,4.550760746002197,0.9143304824829102,0.07722076138843402,0.014713984432448162,0.06432338537938953,0.09011813739747848,0.036191878325450344,0.0008974023514696082,0.03540527048231709,0.03697848616858358,0.17534444839190272,0.3909246341202479,-0.16731610154916354,0.518004998332969,0.5536024344069086,0.010345533877394212,0.5445341741376635,0.5626706946761537,0.06000000000000001,0.0894427190999916,-0.0184,0.13840000000000002,0.1,0.06123724356957945,0.046323189364493735,0.15367681063550628,0.29538461538461536,0.064725181439885,0.2386504924068238,0.3521187383624068
max_delta_volume,P3,framework_groupkfold,ExtraTrees,5,2560,2561.0,2561,640,640.0,641,96.0,6.172545671463013,1.2421152591705322,0.0717534993684372,0.02492221250568732,0.049908216933971614,0.09359878180290278,0.033822125489738404,0.0025561369023131813,0.03158157270737814,0.03606267827209866,0.16517518219067892,0.3369042678152239,-0.1301344289492181,0.4604847933305759,0.6106464803351892,0.03520671830828601,0.5797864310975998,0.6415065295727786,0.12000000000000002,0.10954451150103323,0.02398000208289945,0.21601999791710058,0.15,0.10606601717798211,0.05702903679104965,0.24297096320895034,0.32706730769230774,0.03615315887746915,0.2953776667185703,0.3587569486660452
max_delta_volume,P3,leave_chemical_system_out,ExtraTrees,75,3048,3184.0,3194,7,17.0,153,96.0,103.69115471839905,1.3760004043579102,0.042318359745341386,0.029549766217057606,0.035630618077217166,0.049006101413465605,0.031488947363624044,0.020761436563877855,0.026790191935968103,0.03618770279127999,-0.08140233315959554,0.9856107246621023,-0.30446703910193545,0.14166237278274435,0.501976068399995,0.22317246134245455,0.45146738559233823,0.5524847512076517,0.7026666666666667,0.27752444904876367,0.6398569710435842,0.7654763622897491,0.8713333333333333,0.2195162576835424,0.821652127311017,0.9210145393556496,0.2611301106301106,0.31651153293729956,0.18949680728286597,0.3327634139773552
max_delta_volume,P3,leave_family_out,DummyMean,10,2027,3082.5,3191,10,118.5,1174,96.0,0.2129986286163327,0.0210003852844238,0.10398830244803152,0.10725828692208761,0.037508927466108524,0.1704676774299545,0.062251320037490766,0.04328788715816392,0.03542120960832509,0.08908143046665645,-0.19656641175732312,0.22811291414496784,-0.3379522607470449,-0.05518056276760144,,,,,0.2,0.31269438398822863,0.006190012870566669,0.3938099871294334,0.31,0.3799122705748438,0.07452793513171602,0.5454720648682838,0.19644886383574664,0.2893057081368167,0.01713532818689789,0.3757623994845954
max_delta_volume,P3,leave_working_ion_out,ExtraTrees,3,543,2807.0,3052,149,394.0,2658,96.0,3.235722303390503,1.3530831336975098,0.0973400652460274,0.027388432084951484,0.0663471367176475,0.12833299377440732,0.06301396289100666,0.018066453016592324,0.04256984672664131,0.08345807905537202,0.05801082386163361,0.3825802573291669,-0.37491949266740277,0.49094114039066994,0.5072517760286565,0.16974124006943866,0.31517148076118073,0.6993320712961322,0.16666666666666666,0.11547005383792514,0.036000000000000004,0.29733333333333334,0.18333333333333335,0.07637626158259735,0.09690545717189006,0.26976120949477667,0.24175020885547202,0.09828053917144591,0.13053530919186973,0.3529651085190743
max_delta_volume,P3,random_split,ExtraTrees,5,2560,2560.0,2560,641,641.0,641,96.0,5.901192665100098,1.1850388050079346,0.06324273461247483,0.00842060703575202,0.05586174711292305,0.07062372211202658,0.03183745071822784,0.000931428040857098,0.03102101804334952,0.03265388339310616,0.4611620929228441,0.1984597933849977,0.2872044141095523,0.6351197717361359,0.6579177540933414,0.008577470546803335,0.6503992696640208,0.665436238522662,0.04,0.05477225575051661,-0.008009998958550285,0.08800999895855029,0.13999999999999999,0.08215838362577492,0.06798500156217459,0.21201499843782545,0.38461538461538464,0.04741856925360751,0.3430511760706203,0.426179593160149
