target,protocol,model_name,split_name,random_rmse_mean,split_rmse_mean,rmse_delta_vs_random,rmse_ratio_vs_random,random_mae_mean,split_mae_mean,mae_delta_vs_random,random_r2_mean,split_r2_mean,r2_delta_vs_random,n_folds_split
capacity_grav,P0,ExtraTrees,framework_groupkfold,13.719667384760196,12.462078936779374,-1.2575884479808224,0.9083368122045181,2.8380403759716506,3.3063725127010217,0.46833213672937113,0.9622580590635564,0.9692852415207117,0.007027182457155279,5
capacity_grav,P0,ExtraTrees,leave_chemical_system_out,13.719667384760196,4.221621912307252,-9.498045472452944,0.3077058498514788,2.8380403759716506,2.6468864396945038,-0.19115393627714683,0.9622580590635564,-6.041526358055336e+24,-6.041526358055336e+24,75
capacity_grav,P0,ExtraTrees,leave_family_out,13.719667384760196,29.685815721898035,15.966148337137838,2.163741648348781,2.8380403759716506,16.76448843592771,13.926448059956059,0.9622580590635564,0.9121110190185286,-0.05014704004502779,10
capacity_grav,P0,ExtraTrees,leave_working_ion_out,13.719667384760196,13.871759674224679,0.15209228946448228,1.0110857125904835,2.8380403759716506,6.583696956605693,3.7456565806340425,0.9622580590635564,0.9469318111706274,-0.015326247892929024,3
capacity_grav,P0,ExtraTrees,random_split,13.719667384760196,13.719667384760196,0.0,1.0,2.8380403759716506,2.8380403759716506,0.0,0.9622580590635564,0.9622580590635564,0.0,5
capacity_grav,P0,Ridge,framework_groupkfold,13.024409895582242,10.295396063745084,-2.7290138318371575,0.7904692916058474,4.131051541224825,4.156811408173177,0.025759866948352084,0.9693675718452927,0.980917333360076,0.011549761514783374,5
capacity_grav,P0,Ridge,leave_chemical_system_out,13.024409895582242,4.659223701287232,-8.36518619429501,0.3577301189566828,4.131051541224825,3.6232365759920055,-0.5078149652328197,0.9693675718452927,-1.2655738017242107e+24,-1.2655738017242107e+24,75
capacity_grav,P0,Ridge,leave_family_out,13.024409895582242,38.369585205081265,25.345175309499023,2.945974943409595,4.131051541224825,23.689727857277365,19.55867631605254,0.9693675718452927,0.7997467008545216,-0.16962087099077106,10
capacity_grav,P0,Ridge,leave_working_ion_out,13.024409895582242,32.614828327311436,19.590418431729194,2.504130980887977,4.131051541224825,26.62488538470436,22.493833843479536,0.9693675718452927,0.7342747146803456,-0.2350928571649471,3
capacity_grav,P0,Ridge,random_split,13.024409895582242,13.024409895582242,0.0,1.0,4.131051541224825,4.131051541224825,0.0,0.9693675718452927,0.9693675718452927,0.0,5
capacity_grav,P1,DummyMean,framework_groupkfold,76.31943811355585,75.9077208543779,-0.4117172591779479,0.9946053421074019,56.83498939697961,57.48965956896787,0.6546701719882648,-0.00113899109140654,-0.005310552713303178,-0.004171561621896638,5
capacity_grav,P1,DummyMean,leave_chemical_system_out,76.31943811355585,70.84896241964705,-5.470475693908796,0.9283213316407117,56.83498939697961,58.35260247343301,1.5176130764534008,-0.00113899109140654,-6.69185693351281e+27,-6.69185693351281e+27,75
capacity_grav,P1,DummyMean,leave_family_out,76.31943811355585,95.55978648444994,19.240348370894097,1.2521028567095362,56.83498939697961,71.24817498319496,14.413185586215349,-0.00113899109140654,-0.2079545047440737,-0.20681551365266718,10
capacity_grav,P1,DummyMean,leave_working_ion_out,76.31943811355585,72.4924164617663,-3.8270216517895506,0.9498552171453972,56.83498939697961,58.273335006766764,1.4383456097871559,-0.00113899109140654,-0.1651678607222322,-0.16402886963082566,3
capacity_grav,P1,DummyMean,random_split,76.31943811355585,76.31943811355585,0.0,1.0,56.83498939697961,56.83498939697961,0.0,-0.00113899109140654,-0.00113899109140654,0.0,5
capacity_grav,P1,ExtraTrees,framework_groupkfold,61.8746992985743,60.626293569992484,-1.2484057285818153,0.9798236477472371,38.70168119218609,40.5884200753548,1.8867388831687038,0.33895536404429893,0.3564791605948733,0.017523796550574344,5
capacity_grav,P1,ExtraTrees,leave_chemical_system_out,61.8746992985743,57.13768736914426,-4.7370119294300395,0.9234418593846938,38.70168119218609,45.769794979728566,7.068113787542472,0.33895536404429893,-9.658665577590442e+27,-9.658665577590442e+27,75
capacity_grav,P1,ExtraTrees,leave_family_out,61.8746992985743,78.9978138911508,17.1231145925765,1.2767385504364148,38.70168119218609,55.788523421263946,17.086842229077853,0.33895536404429893,0.18144308112382815,-0.1575122829204708,10
capacity_grav,P1,ExtraTrees,leave_working_ion_out,61.8746992985743,60.72251482290761,-1.1521844756666866,0.9813787462609417,38.70168119218609,39.26286446296519,0.5611832707790967,0.33895536404429893,0.15735629180906996,-0.18159907223522898,3
capacity_grav,P1,ExtraTrees,random_split,61.8746992985743,61.8746992985743,0.0,1.0,38.70168119218609,38.70168119218609,0.0,0.33895536404429893,0.33895536404429893,0.0,5
capacity_grav,P1,Ridge,framework_groupkfold,65.27119345300629,67.04782077190484,1.776627318898548,1.0272191639973256,47.15142306545331,48.90085861599659,1.7494355505432821,0.2659305950289224,0.2146628896102823,-0.05126770541864012,5
capacity_grav,P1,Ridge,leave_chemical_system_out,65.27119345300629,62.5707092972182,-2.7004841557880894,0.9586267078488097,47.15142306545331,51.08170892168394,3.9302858562306326,0.2659305950289224,-6.970318035081898e+26,-6.970318035081898e+26,75
capacity_grav,P1,Ridge,leave_family_out,65.27119345300629,111.08247313383579,45.8112796808295,1.701860610436249,47.15142306545331,89.19627734874646,42.044854283293155,0.2659305950289224,-0.9540216612528901,-1.2199522562818126,10
capacity_grav,P1,Ridge,leave_working_ion_out,65.27119345300629,67.63588697738898,2.3646935243826874,1.0362287465462878,47.15142306545331,50.09868829861468,2.9472652331613745,0.2659305950289224,-0.010503785744330299,-0.2764343807732527,3
capacity_grav,P1,Ridge,random_split,65.27119345300629,65.27119345300629,0.0,1.0,47.15142306545331,47.15142306545331,0.0,0.2659305950289224,0.2659305950289224,0.0,5
capacity_grav,P2,DummyMean,framework_groupkfold,76.31943811355585,75.9077208543779,-0.4117172591779479,0.9946053421074019,56.83498939697961,57.48965956896787,0.6546701719882648,-0.00113899109140654,-0.005310552713303178,-0.004171561621896638,5
capacity_grav,P2,DummyMean,leave_chemical_system_out,76.31943811355585,70.84896241964705,-5.470475693908796,0.9283213316407117,56.83498939697961,58.35260247343301,1.5176130764534008,-0.00113899109140654,-6.69185693351281e+27,-6.69185693351281e+27,75
capacity_grav,P2,DummyMean,leave_family_out,76.31943811355585,95.55978648444994,19.240348370894097,1.2521028567095362,56.83498939697961,71.24817498319496,14.413185586215349,-0.00113899109140654,-0.2079545047440737,-0.20681551365266718,10
capacity_grav,P2,DummyMean,leave_working_ion_out,76.31943811355585,72.4924164617663,-3.8270216517895506,0.9498552171453972,56.83498939697961,58.273335006766764,1.4383456097871559,-0.00113899109140654,-0.1651678607222322,-0.16402886963082566,3
capacity_grav,P2,DummyMean,random_split,76.31943811355585,76.31943811355585,0.0,1.0,56.83498939697961,56.83498939697961,0.0,-0.00113899109140654,-0.00113899109140654,0.0,5
capacity_grav,P2,ExtraTrees,framework_groupkfold,31.200415161820427,32.65574450382283,1.455329342002404,1.0466445505437785,16.18683605728724,17.845914985405177,1.6590789281179354,0.8327589550840523,0.8109931252850127,-0.021765829799039627,5
capacity_grav,P2,ExtraTrees,leave_chemical_system_out,31.200415161820427,23.859139961875982,-7.3412751999444446,0.7647058488847329,16.18683605728724,17.400537400029478,1.2137013427422367,0.8327589550840523,-2.118396044992038e+25,-2.118396044992038e+25,75
capacity_grav,P2,ExtraTrees,leave_family_out,31.200415161820427,59.22395289789246,28.023537736072033,1.8981783604714368,16.18683605728724,40.12755340180365,23.94071734451641,0.8327589550840523,0.6303345141711898,-0.2024244409128625,10
capacity_grav,P2,ExtraTrees,leave_working_ion_out,31.200415161820427,48.63923072582764,17.43881556400721,1.558928958911639,16.18683605728724,33.09679610920355,16.90996005191631,0.8327589550840523,0.48309741209611623,-0.34966154298793606,3
capacity_grav,P2,ExtraTrees,random_split,31.200415161820427,31.200415161820427,0.0,1.0,16.18683605728724,16.18683605728724,0.0,0.8327589550840523,0.8327589550840523,0.0,5
capacity_grav,P2,Ridge,framework_groupkfold,50.0610455288292,51.48645480384893,1.4254092750197316,1.0284734219983254,33.24379160748169,33.57671029827729,0.33291869079560144,0.5649085356361654,0.5328507837741505,-0.03205775186201487,5
