protocol,split_name,fold_id,heldout_group,model_variant,n_test,energy_consistency_mae,energy_consistency_rmse,stability_consistency_mae,stability_consistency_rmse,any_negative_prediction_rate,mean_negative_outputs_per_record
P1,leave_family_out,7,sulfide_like,unconstrained_direct,55,100.05133056640624,112.13507843017578,0.0454360358417034,0.0493962578475475,0.0909090909090909,0.0909090909090909
P1,leave_family_out,7,sulfide_like,unconstrained_hardderived,55,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_family_out,7,sulfide_like,softconstrained_direct,55,31.456478118896484,39.815189361572266,0.008991421200335,0.0127825774252414,0.7272727272727273,1.3818181818181818
P1,leave_family_out,7,sulfide_like,softconstrained_hardderived,55,0.0,0.0,0.0,0.0,0.7272727272727273,1.4
P1,leave_family_out,8,oxide_like_other,unconstrained_direct,22,48.14302062988281,58.73259735107422,0.0226234886795282,0.0281050652265548,0.0909090909090909,0.0909090909090909
P1,leave_family_out,8,oxide_like_other,unconstrained_hardderived,22,0.0,0.0,0.0,0.0,0.0454545454545454,0.0454545454545454
P1,leave_family_out,8,oxide_like_other,softconstrained_direct,22,28.51621627807617,36.83218002319336,0.0151837076991796,0.0163917038589715,0.1363636363636363,0.1363636363636363
P1,leave_family_out,8,oxide_like_other,softconstrained_hardderived,22,0.0,0.0,0.0,0.0,0.1363636363636363,0.1363636363636363
P1,leave_family_out,9,organic_or_carbon_like,unconstrained_direct,10,55.8380241394043,68.88522338867188,0.0156113803386688,0.0191743988543748,0.0,0.0
P1,leave_family_out,9,organic_or_carbon_like,unconstrained_hardderived,10,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_family_out,9,organic_or_carbon_like,softconstrained_direct,10,27.014331817626957,30.616872787475582,0.0096260569989681,0.0105736264958977,0.0,0.0
P1,leave_family_out,9,organic_or_carbon_like,softconstrained_hardderived,10,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,0,F-O-V,unconstrained_direct,153,35.30659866333008,43.44634628295898,0.0159458052366971,0.0177057608962059,0.0130718954248366,0.0130718954248366
P1,leave_chemical_system_out,0,F-O-V,unconstrained_hardderived,153,0.0,0.0,0.0,0.0,0.0130718954248366,0.0130718954248366
